Family,Size,Method,Task,Quantization,Model_Name,Throughput_tokens_s,Model_Size_GB,rho_sys_tokens_s_per_GB,TTFT_Mean_ms,ITL_Mean_ms
Llama,7B,LoRA,summ,INT4,EkcupKadakChai/Llama-7B_LoRA_FP16_summ-INT4,1534.32,4.375,350.7017142857143,46.25,15.93
Llama,7B,LoRA,summ,FP16,EkcupKadakChai/Llama-7B_LoRA_FP16_summ-FP16,788.15,14.0,56.29642857142857,82.04,29.37
Llama,7B,QLoRA,summ,INT4,EkcupKadakChai/Llama-7B_QLoRA_INT4_summ-MERGED,1460.81,4.375,333.8994285714286,46.36,16.37
Llama,7B,LoRA,chat,INT8,EkcupKadakChai/Llama-7B_LoRA_FP16_chat-INT8,1459.91,7.0,208.55857142857144,57.08,19.27
Llama,7B,LoRA,chat,INT4,EkcupKadakChai/Llama-7B_LoRA_FP16_chat-INT4,1943.38,4.375,444.2011428571429,53.11,17.65
Llama,7B,LoRA,chat,FP16,EkcupKadakChai/Llama-7B_LoRA_FP16_chat-FP16,1019.73,14.0,72.83785714285715,72.46,25.98
Llama,7B,QLoRA,chat,INT4,EkcupKadakChai/Llama-7B_QLoRA_INT4_chat-MERGED,1841.78,4.375,420.97828571428573,47.12,17.61
Llama,3B,LoRA,rag,FP16,EkcupKadakChai/Llama-3B_LoRA_FP16_rag-FP16,1304.7,6.0,217.45000000000002,47.52,18.13
Llama,3B,QLoRA,rag,INT4,EkcupKadakChai/Llama-3B_QLoRA_INT4_rag-MERGED,2344.04,1.875,1250.1546666666666,35.06,11.73
Llama,3B,LoRA,rag,INT8,EkcupKadakChai/Llama-3B_LoRA_FP16_rag-INT8,2008.36,3.0,669.4533333333333,44.2,16.55
Llama,3B,LoRA,rag,INT4,EkcupKadakChai/Llama-3B_LoRA_FP16_rag-INT4,2596.76,1.875,1384.9386666666667,34.4,11.73
Llama,3B,LoRA,summ,INT8,EkcupKadakChai/Llama-3B_LoRA_FP16_summ-INT8,1808.35,3.0,602.7833333333333,42.34,14.41
Llama,3B,LoRA,summ,FP16,EkcupKadakChai/Llama-3B_LoRA_FP16_summ-FP16,1285.44,6.0,214.24,51.07,21.85
Llama,3B,QLoRA,summ,INT4,EkcupKadakChai/Llama-3B_QLoRA_INT4_summ-MERGED,2132.58,1.875,1137.376,36.48,11.29
Llama,3B,LoRA,summ,INT4,EkcupKadakChai/Llama-3B_LoRA_FP16_summ-INT4,2299.36,1.875,1226.3253333333334,39.17,12.83
Llama,3B,LoRA,chat,FP16,EkcupKadakChai/Llama-3B_LoRA_FP16_chat-FP16,1531.75,6.0,255.29166666666666,53.9,18.36
Llama,3B,QLoRA,chat,INT4,EkcupKadakChai/Llama-3B_QLoRA_INT4_chat-MERGED,2815.36,1.875,1501.5253333333335,36.97,12.43
Llama,3B,LoRA,chat,INT8,EkcupKadakChai/Llama-3B_LoRA_FP16_chat-INT8,2135.58,3.0,711.86,46.81,15.1
Llama,3B,LoRA,chat,INT4,EkcupKadakChai/Llama-3B_LoRA_FP16_chat-INT4,2846.03,1.875,1517.8826666666669,37.96,12.47
Llama,1B,LoRA,rag,INT8,EkcupKadakChai/Llama-1B_LoRA_FP16_rag-INT8,3257.93,1.0,3257.93,25.79,10.6
Llama,1B,LoRA,rag,FP16,EkcupKadakChai/Llama-1B_LoRA_FP16_rag-FP16,2053.62,2.0,1026.81,30.3,13.28
Llama,1B,QLoRA,rag,INT4,EkcupKadakChai/Llama-1B_QLoRA_INT4_rag-MERGED,3849.12,0.625,6158.592,22.32,8.3
Llama,1B,LoRA,rag,INT4,EkcupKadakChai/Llama-1B_LoRA_FP16_rag-INT4,4230.52,0.625,6768.832,22.76,8.31
Llama,1B,LoRA,summ,INT8,EkcupKadakChai/Llama-1B_LoRA_FP16_summ-INT8,2885.51,1.0,2885.51,29.17,10.94
Llama,1B,LoRA,summ,FP16,EkcupKadakChai/Llama-1B_LoRA_FP16_summ-FP16,2072.52,2.0,1036.26,30.52,12.43
Llama,1B,QLoRA,summ,INT4,EkcupKadakChai/Llama-1B_QLoRA_INT4_summ-MERGED,4117.55,0.625,6588.08,23.93,7.28
Llama,1B,LoRA,summ,INT4,EkcupKadakChai/Llama-1B_LoRA_FP16_summ-INT4,4055.57,0.625,6488.912,21.19,8.63
Llama,1B,LoRA,chat,FP16,EkcupKadakChai/Llama-1B_LoRA_FP16_chat-FP16,2578.41,2.0,1289.205,32.96,13.3
Llama,1B,QLoRA,chat,INT4,EkcupKadakChai/Llama-1B_QLoRA_INT4_chat-MERGED,4803.17,0.625,7685.072,22.97,7.83
Llama,1B,LoRA,chat,INT4,EkcupKadakChai/Llama-1B_LoRA_FP16_chat-INT4,4930.8,0.625,7889.280000000001,22.15,8.54
Llama,1B,LoRA,chat,INT8,EkcupKadakChai/Llama-1B_LoRA_FP16_chat-INT8,3531.04,1.0,3531.04,25.99,10.3
